topology,total_paths_avg,total_pairs,inter_isd_paths_avg,inter_isd_pairs,intra_isd_paths_avg,intra_isd_pairs
topo0_it0,32.0,4,32.0,6,5.0,24
topo0_rac_it1,80.0,2,44.2,10,8.461538461538462,26
topo0_rac_it2,80.0,2,30.416666666666668,12,7.076923076923077,26
topo0_rac_it3,53.166666666666664,18,54.0,14,29.5,20
topo0_rac_it4,86.0,2,50.72727272727273,11,11.8,20
topo0_rac_it5,21.5,2,56.54545454545455,11,31.227272727272727,22
topo0_rnp_it1,42.0,6,39.6,10,8.461538461538462,26
topo0_rnp_it2,40.5,4,46.714285714285715,14,14.0,28
topo0_rnp_it3,45.0,4,45.833333333333336,18,15.2,30
topo0_rnp_it4,45.0,4,45.833333333333336,18,15.2,30
topo0_rnp_it5,45.0,4,45.833333333333336,18,15.2,30
topo10_it0,12.26086956521739,46,17.5,30,19.8125,16
topo10_rac_it1,14.0,14,23.714285714285715,14,19.75,16
topo10_rac_it2,20.214285714285715,14,25.20689655172414,29,21.291666666666668,24
topo10_rac_it3,23.0625,16,27.20689655172414,29,30.166666666666668,18
topo10_rac_it4,21.0,6,27.833333333333332,24,31.11111111111111,18
topo10_rac_it5,42.6764705882353,102,38.03225806451613,62,33.0,8
topo10_rnp_it1,17.043478260869566,46,19.9375,32,14.454545454545455,22
topo10_rnp_it2,17.043478260869566,46,19.9375,32,14.454545454545455,22
topo10_rnp_it3,17.043478260869566,46,19.9375,32,14.454545454545455,22
topo10_rnp_it4,17.043478260869566,46,19.9375,32,14.454545454545455,22
topo10_rnp_it5,17.043478260869566,46,19.9375,32,14.454545454545455,22
topo11_it0,4.5,8,3.625,16,2.3,20
topo11_rac_it1,12.0,2,3.1666666666666665,24,2.0,22
topo11_rac_it2,22.0,2,5.068965517241379,29,2.9166666666666665,24
topo11_rac_it3,6.285714285714286,14,3.792452830188679,53,2.6363636363636362,22
topo11_rac_it4,16.5,8,6.886792452830188,53,4.166666666666667,24
topo11_rac_it5,18.0,2,10.1,50,6.583333333333333,24
topo11_rnp_it1,4.5,8,3.625,16,2.3,20
topo11_rnp_it2,4.5,8,3.625,16,2.3,20
topo11_rnp_it3,4.5,8,3.625,16,2.3,20
topo11_rnp_it4,4.5,8,3.625,16,2.3,20
topo11_rnp_it5,4.5,8,3.625,16,2.3,20
topo1_it0,5.333333333333333,12,0.0,0,5.333333333333333,12
topo1_rac_it1,40.5,24,41.0,3,36.4,20
topo1_rac_it2,44.75,16,40.0,2,39.714285714285715,14
topo1_rac_it3,47.8,10,42.0,1,39.8,10
topo1_rac_it4,61.0,4,61.0,1,30.25,4
topo1_rac_it5,61.25,4,62.0,1,30.75,4
topo1_rnp_it1,12.0,2,12.0,1,17.875,32
topo1_rnp_it2,12.0,2,12.0,1,18.625,32
topo1_rnp_it3,12.0,2,12.0,1,17.46153846153846,26
topo1_rnp_it4,12.0,2,12.0,1,17.916666666666668,24
topo1_rnp_it5,28.076923076923077,26,40.0,2,23.833333333333332,24
topo2_it0,2.6666666666666665,6,1.7894736842105263,38,1.5384615384615385,26
topo2_rac_it1,8.0,2,6.2631578947368425,38,4.066666666666666,30
topo2_rac_it2,6.0,4,6.783783783783784,37,4.533333333333333,30
topo2_rac_it3,12.285714285714286,14,9.324324324324325,37,5.545454545454546,22
topo2_rac_it4,11.75,8,7.416666666666667,24,4.642857142857143,28
topo2_rac_it5,15.333333333333334,6,9.666666666666666,27,6.538461538461538,26
topo2_rnp_it1,6.0,6,3.236842105263158,38,2.1538461538461537,26
topo2_rnp_it2,9.0,8,6.054054054054054,37,3.923076923076923,26
topo2_rnp_it3,9.0,8,6.054054054054054,37,3.923076923076923,26
topo2_rnp_it4,9.0,8,6.054054054054054,37,3.923076923076923,26
topo2_rnp_it5,9.0,8,6.054054054054054,37,3.923076923076923,26
topo3_it0,4.214285714285714,56,3.5076923076923077,65,4.236363636363636,110
topo3_rac_it1,9.1,40,6.666666666666667,57,5.875,112
topo3_rac_it2,10.75,32,7.568181818181818,44,6.0,118
topo3_rac_it3,11.8,20,8.5625,32,5.888888888888889,126
topo3_rac_it4,28.571428571428573,14,17.076923076923077,26,7.622950819672131,122
topo3_rac_it5,12.0,2,24.606060606060606,33,5.142857142857143,28
topo3_rnp_it1,9.076923076923077,52,6.907692307692308,65,5.508196721311475,122
topo3_rnp_it2,6.0,8,4.457142857142857,35,2.4705882352941178,34
topo3_rnp_it3,12.0,8,7.212121212121212,33,3.176470588235294,34
topo3_rnp_it4,16.666666666666668,12,11.6,25,3.9411764705882355,34
topo3_rnp_it5,8.333333333333334,12,9.32,25,2.8947368421052633,38
topo4_it0,14.0,8,6.362745098039215,102,7.2105263157894735,38
topo4_rac_it1,14.5,32,10.382352941176471,102,7.7368421052631575,38
topo4_rac_it2,68.0,4,20.097087378640776,103,17.68421052631579,38
topo4_rac_it3,26.0,4,17.41111111111111,90,14.095238095238095,42
topo4_rac_it4,20.0,2,9.951807228915662,83,10.368421052631579,38
topo4_rac_it5,16.0,2,8.578947368421053,76,7.944444444444445,36
topo4_rnp_it1,15.545454545454545,44,10.088235294117647,102,7.55,40
topo4_rnp_it2,30.5,32,15.855421686746988,83,6.333333333333333,24
topo4_rnp_it3,49.125,16,29.51923076923077,104,13.0,26
topo4_rnp_it4,58.5,16,36.06122448979592,98,12.615384615384615,26
topo4_rnp_it5,58.5,16,36.06122448979592,98,12.615384615384615,26
topo5_it0,2.0,4,1.3043478260869565,46,1.3571428571428572,28
topo5_rac_it1,4.0,4,2.4186046511627906,43,2.0,30
topo5_rac_it2,4.0,4,2.764705882352941,34,2.230769230769231,26
topo5_rac_it3,4.703703703703703,54,4.641025641025641,39,3.642857142857143,28
topo5_rac_it4,5.882352941176471,34,5.310344827586207,29,3.6363636363636362,22
topo5_rac_it5,8.0,2,5.405405405405405,37,3.3,20
topo5_rnp_it1,4.0,4,2.347826086956522,46,2.1538461538461537,26
topo5_rnp_it2,4.0,4,2.347826086956522,46,2.1538461538461537,26
topo5_rnp_it3,4.0,4,2.347826086956522,46,2.1538461538461537,26
topo5_rnp_it4,4.0,4,2.347826086956522,46,2.1538461538461537,26
topo5_rnp_it5,4.0,4,2.347826086956522,46,2.1538461538461537,26
topo6_it0,67.5,4,72.21052631578948,19,42.214285714285715,14
topo6_rac_it1,73.0,2,100.45454545454545,11,48.75,12
topo6_rac_it2,43.625,16,65.0,23,36.5625,16
topo6_rac_it3,41.642857142857146,14,53.77272727272727,22,27.15625,32
topo6_rac_it4,41.785714285714285,14,46.714285714285715,21,34.75,40
topo6_rac_it5,48.833333333333336,12,67.82352941176471,17,43.15909090909091,44
topo6_rnp_it1,64.5,4,71.10526315789474,19,42.142857142857146,14
topo6_rnp_it2,66.5,4,72.0,19,41.857142857142854,14
topo6_rnp_it3,63.5,4,71.36842105263158,19,41.357142857142854,14
topo6_rnp_it4,67.0,4,70.89473684210526,19,41.642857142857146,14
topo6_rnp_it5,65.5,4,75.21052631578948,19,42.714285714285715,14
topo7_it0,18.5,8,20.583333333333332,12,6.125,32
topo7_rac_it1,39.875,16,28.133333333333333,30,16.0625,32
topo7_rac_it2,24.428571428571427,14,22.5,22,16.23076923076923,52
topo7_rac_it3,29.25,8,26.8125,16,17.8,40
topo7_rac_it4,24.5,8,24.666666666666668,15,20.75,40
topo7_rac_it5,51.0,4,36.76923076923077,13,26.357142857142858,42
topo7_rnp_it1,22.5,8,26.25,12,8.75,32
topo7_rnp_it2,22.5,8,26.25,12,8.75,32
topo7_rnp_it3,22.5,8,26.25,12,8.75,32
topo7_rnp_it4,22.5,8,26.25,12,8.75,32
topo7_rnp_it5,22.5,8,26.25,12,8.75,32
topo8_it0,42.5,42,30.057692307692307,52,28.545454545454547,22
topo8_rac_it1,45.166666666666664,36,38.020833333333336,48,29.857142857142858,14
topo8_rac_it2,46.857142857142854,14,39.23728813559322,59,27.714285714285715,14
topo8_rac_it3,23.375,8,26.90909090909091,55,26.785714285714285,14
topo8_rac_it4,59.0,4,37.21212121212121,66,25.5,14
topo8_rac_it5,22.5,2,29.419354838709676,62,25.428571428571427,14
topo8_rnp_it1,25.0,4,32.1,50,25.7,20
topo8_rnp_it2,23.5,4,38.8235294117647,51,28.0,12
topo8_rnp_it3,22.5,4,30.02,50,18.214285714285715,14
topo8_rnp_it4,22.5,8,31.64814814814815,54,18.357142857142858,14
topo8_rnp_it5,22.0,8,35.64,50,21.571428571428573,14
topo9_it0,1.5,16,1.5454545454545454,11,2.0,14
topo9_rac_it1,3.3333333333333335,6,4.0,4,3.2857142857142856,14
topo9_rac_it2,18.75,24,18.076923076923077,13,5.555555555555555,18
topo9_rac_it3,32.22222222222222,18,30.6,10,9.222222222222221,18
topo9_rac_it4,69.75,8,61.0,5,13.11111111111111,18
topo9_rac_it5,21.0,4,28.73076923076923,26,10.375,16
topo9_rnp_it1,7.0,24,6.3125,16,2.2857142857142856,14
topo9_rnp_it2,11.222222222222221,18,9.5,12,4.571428571428571,14
topo9_rnp_it3,14.11111111111111,18,12.0,12,4.875,16
topo9_rnp_it4,34.0,6,21.571428571428573,7,7.375,16
topo9_rnp_it5,34.0,6,21.571428571428573,7,7.375,16
